freq,items
0.55,29;25;18;170;24;147;?;?;?
0.55,182;29;25;63;24;?;?;?;?
0.57,56;69;57;145;?;?;?;?;?
0.6,182;11;3;18;?;?;?;?;?
0.53,11;69;145;22;18;24;?;?;?
0.4,11;18;170;24;147;7;?;?;?
0.41,182;56;5;24;17;?;?;?;?
0.42,29;69;145;88;?;?;?;?;?
0.54,11;56;5;145;18;24;147;?;?
0.43,57;18;147;7;143;?;?;?;?
0.46,182;11;29;147;?;?;?;?;?
0.47,11;69;3;170;24;147;?;?;?
0.43,11;145;147;7;143;?;?;?;?
0.44,11;69;145;18;143;?;?;?;?
0.64,11;145;18;170;24;?;?;?;?
0.44,182;3;170;17;?;?;?;?;?
0.44,11;29;22;170;17;?;?;?;?
0.45,29;25;5;145;22;170;?;?;?
0.61,56;3;22;18;170;?;?;?;?
0.49,56;57;26;81;?;?;?;?;?
0.41,56;145;22;24;7;143;?;?;?
0.43,11;29;5;3;22;?;?;?;?
0.4,63;69;145;170;?;?;?;?;?
0.56,11;57;22;18;147;?;?;?;?
0.4,11;25;63;17;18;?;?;?;?
0.42,29;63;22;170;147;17;?;?;?
0.4,182;11;56;69;145;22;18;?;?
0.55,56;57;3;24;147;?;?;?;?
0.45,182;27;26;?;?;?;?;?;?
0.46,56;170;147;17;?;?;?;?;?
0.44,182;29;69;145;22;18;170;?;?
0.43,11;5;145;24;7;143;?;?;?
0.51,57;12;81;?;?;?;?;?;?
0.46,182;56;69;170;7;?;?;?;?
0.63,56;57;18;24;147;?;?;?;?
0.42,182;56;57;5;170;24;147;?;?
0.49,56;3;22;18;24;147;?;?;?
0.61,57;22;170;24;147;?;?;?;?
0.51,3;22;7;?;?;?;?;?;?
0.47,11;29;25;17;18;147;?;?;?
0.54,29;5;22;24;147;?;?;?;?
0.51,11;3;145;22;18;170;?;?;?
0.4,11;69;24;17;143;?;?;?;?
0.44,11;56;5;12;81;?;?;?;?
0.5,56;27;94;81;?;?;?;?;?
0.4,11;56;69;57;18;170;147;?;?
0.49,11;63;22;18;24;?;?;?;?
0.5,182;11;3;145;18;?;?;?;?
0.45,182;11;5;18;24;147;?;?;?
0.63,29;22;170;24;147;?;?;?;?
0.43,11;69;145;147;143;?;?;?;?
0.49,56;5;22;170;7;?;?;?;?
0.42,56;25;28;81;?;?;?;?;?
0.51,56;25;63;170;147;?;?;?;?
0.45,29;3;22;18;170;147;?;?;?
0.41,182;29;5;22;18;170;147;?;?
0.41,182;29;28;26;?;?;?;?;?
0.43,11;69;18;7;143;?;?;?;?
0.42,56;5;18;17;143;?;?;?;?
0.41,182;22;147;143;?;?;?;?;?
0.45,182;56;69;145;24;7;?;?;?
0.48,56;57;18;17;?;?;?;?;?
0.45,56;145;22;170;147;17;?;?;?
0.61,11;5;145;18;24;147;?;?;?
0.46,25;18;17;?;?;?;?;?;?
0.43,29;57;3;145;18;?;?;?;?
0.41,29;25;27;94;81;?;?;?;?
0.41,182;56;145;22;143;?;?;?;?
0.48,69;57;18;147;?;?;?;?;?
0.41,11;29;63;18;147;7;?;?;?
0.47,11;56;69;145;7;?;?;?;?
0.45,5;22;170;147;17;?;?;?;?
0.65,182;56;57;22;170;147;?;?;?
0.43,56;57;145;147;17;?;?;?;?
0.65,63;18;170;147;?;?;?;?;?
0.48,182;3;88;?;?;?;?;?;?
0.69,25;22;170;147;?;?;?;?;?
0.42,57;3;12;?;?;?;?;?;?
0.48,11;29;145;18;24;147;?;?;?
0.48,11;69;145;24;7;?;?;?;?
